Term,RGB
mov eax,"rgb(106, 179, 49)"
dword ptr,"rgb(106, 179, 48)"
mov ecx,"rgb(106, 178, 49)"
push eax,"rgb(105, 179, 49)"
mov edi,"rgb(106, 179, 47)"
jz short,"rgb(106, 178, 48)"
push ecx,"rgb(106, 177, 49)"
eax eax,"rgb(105, 179, 48)"
push edi,"rgb(105, 178, 49)"
mov ebp,"rgb(104, 179, 49)"
push offset,"rgb(106, 179, 46)"
push ebp,"rgb(106, 178, 47)"
push dword,"rgb(106, 177, 48)"
push esi,"rgb(106, 176, 49)"
mov edx,"rgb(105, 179, 47)"
push edx,"rgb(105, 178, 48)"
retn,"rgb(105, 177, 49)"
mov esi,"rgb(104, 179, 48)"
ebp esp,"rgb(104, 178, 49)"
pop ebp,"rgb(103, 179, 49)"
sub esp,"rgb(106, 179, 45)"
pop edi,"rgb(106, 178, 46)"
jmp short,"rgb(106, 177, 47)"
edi edi,"rgb(106, 176, 48)"
push ebx,"rgb(106, 175, 49)"
pop eax,"rgb(105, 179, 46)"
xor eax,"rgb(105, 178, 47)"
test eax,"rgb(105, 177, 48)"
jnz short,"rgb(105, 176, 49)"
mov ebx,"rgb(104, 179, 47)"
pop ecx,"rgb(104, 178, 48)"
lea eax,"rgb(104, 177, 49)"
push 0,"rgb(103, 179, 48)"
nop,"rgb(103, 178, 49)"
pop esi,"rgb(102, 179, 49)"
sub eax,"rgb(106, 179, 44)"
ecx ecx,"rgb(106, 178, 45)"
pop edx,"rgb(106, 177, 46)"
xor ecx,"rgb(106, 176, 47)"
esp 4,"rgb(106, 175, 48)"
lea ecx,"rgb(106, 174, 49)"
byte ptr,"rgb(105, 179, 45)"
mov al,"rgb(105, 178, 46)"
pop ebx,"rgb(105, 177, 47)"
ecx eax,"rgb(105, 176, 48)"
cmp eax,"rgb(105, 175, 49)"
eax ecx,"rgb(104, 179, 46)"
eax offset,"rgb(104, 178, 47)"
and eax,"rgb(104, 177, 48)"
lea edx,"rgb(104, 176, 49)"
sub ecx,"rgb(103, 179, 47)"
or eax,"rgb(103, 178, 48)"
esp 0Ch,"rgb(103, 177, 49)"
test ecx,"rgb(102, 179, 48)"
mov byte,"rgb(102, 178, 49)"
imul eax,"rgb(101, 179, 49)"
esp 8,"rgb(106, 179, 43)"
edx ecx,"rgb(106, 178, 44)"
sub edx,"rgb(106, 177, 45)"
esp 10h,"rgb(106, 176, 46)"
ecx edx,"rgb(106, 175, 47)"
xor edx,"rgb(106, 174, 48)"
edx edx,"rgb(106, 173, 49)"
eax edx,"rgb(105, 179, 44)"
esi eax,"rgb(105, 178, 45)"
cmp ecx,"rgb(105, 177, 46)"
edx eax,"rgb(105, 176, 47)"
eax esi,"rgb(105, 175, 48)"
call eax,"rgb(105, 174, 49)"
test edx,"rgb(104, 179, 45)"
and ecx,"rgb(104, 178, 46)"
sub esi,"rgb(104, 177, 47)"
cmp esi,"rgb(104, 176, 48)"
esi esi,"rgb(104, 175, 49)"
edi eax,"rgb(103, 179, 46)"
lea esi,"rgb(103, 178, 47)"
cmp edx,"rgb(103, 177, 48)"
jl short,"rgb(103, 176, 49)"
ja short,"rgb(102, 179, 47)"
or ecx,"rgb(102, 178, 48)"
jb short,"rgb(102, 177, 49)"
ptr [eax],"rgb(101, 179, 48)"
sbb eax,"rgb(101, 178, 49)"
lea edi,"rgb(100, 179, 49)"
and edx,"rgb(107, 171, 49)"
xor esi,"rgb(106, 179, 42)"
call edi,"rgb(106, 178, 43)"
call dword,"rgb(106, 177, 44)"
leave,"rgb(106, 176, 45)"
eax edi,"rgb(106, 175, 46)"
test esi,"rgb(106, 174, 47)"
or edx,"rgb(106, 173, 48)"
cmp edi,"rgb(106, 172, 49)"
retn 8,"rgb(105, 179, 43)"
lea ebx,"rgb(105, 178, 44)"
retn 4,"rgb(105, 177, 45)"
ebx eax,"rgb(105, 176, 46)"
retn 0Ch,"rgb(105, 175, 47)"
and esi,"rgb(105, 174, 48)"
retn 10h,"rgb(105, 173, 49)"
or esi,"rgb(104, 179, 44)"
sub edi,"rgb(104, 178, 45)"
sbb edx,"rgb(104, 177, 46)"
sbb ecx,"rgb(104, 176, 47)"
xor edi,"rgb(104, 175, 48)"
eax ebx,"rgb(104, 174, 49)"
ebx ebx,"rgb(103, 179, 45)"
test edi,"rgb(103, 178, 46)"
eax 0,"rgb(103, 177, 47)"
cmp ebx,"rgb(103, 176, 48)"
ecx 0,"rgb(103, 175, 49)"
mov cl,"rgb(102, 179, 46)"
word ptr,"rgb(102, 178, 47)"
edx 0,"rgb(102, 177, 48)"
esi edi,"rgb(102, 176, 49)"
ecx esi,"rgb(101, 179, 47)"
mov [ebp+var_4],"rgb(101, 178, 48)"
dup(0),"rgb(101, 177, 49)"
mov dword,"rgb(100, 179, 48)"
near ptr,"rgb(100, 178, 49)"
edi esi,"rgb(107, 171, 48)"
sub ebx,"rgb(107, 170, 49)"
or edi,"rgb(106, 179, 41)"
esp 28h,"rgb(106, 178, 42)"
esp 20h,"rgb(106, 177, 43)"
esp 24h,"rgb(106, 176, 44)"
esp 2Ch,"rgb(106, 175, 45)"
esp 50h,"rgb(106, 174, 46)"
esp 30h,"rgb(106, 173, 47)"
esp 44h,"rgb(106, 172, 48)"
esp 34h,"rgb(106, 171, 49)"
edi 0,"rgb(105, 179, 42)"
esp 54h,"rgb(105, 178, 43)"
esp 38h,"rgb(105, 177, 44)"
esp 40h,"rgb(105, 176, 45)"
esp 5Ch,"rgb(105, 175, 46)"
esp 58h,"rgb(105, 174, 47)"
and edi,"rgb(105, 173, 48)"
esp 60h,"rgb(105, 172, 49)"
esp 48h,"rgb(104, 179, 43)"
xor ebx,"rgb(104, 178, 44)"
esi offset,"rgb(104, 177, 45)"
esp 4Ch,"rgb(104, 176, 46)"
esp 3Ch,"rgb(104, 175, 47)"
mov dl,"rgb(104, 174, 48)"
edi offset,"rgb(104, 173, 49)"
ebx offset,"rgb(103, 179, 44)"
esi ecx,"rgb(103, 178, 45)"
esi ebx,"rgb(103, 177, 46)"
ebx 0,"rgb(103, 176, 47)"
esi 0,"rgb(103, 175, 48)"
test ebx,"rgb(103, 174, 49)"
ebp eax,"rgb(102, 179, 45)"
rep retn,"rgb(102, 178, 46)"
imul edx,"rgb(102, 177, 47)"
mov [ebp+var_8],"rgb(102, 176, 48)"
edx esi,"rgb(102, 175, 49)"
ecx edi,"rgb(101, 179, 46)"
ecx offset,"rgb(101, 178, 47)"
push [ebp+var_4],"rgb(101, 177, 48)"
edi ebx,"rgb(101, 176, 49)"
short near,"rgb(100, 179, 47)"
esi edx,"rgb(100, 178, 48)"
ebx esi,"rgb(100, 177, 49)"
and ebx,"rgb(107, 171, 47)"
[ebp+var_4] eax,"rgb(107, 170, 48)"
pop dword,"rgb(107, 169, 49)"
dd 0,"rgb(106, 179, 40)"
ebx edi,"rgb(106, 178, 41)"
esp 1Ch,"rgb(106, 177, 42)"
edx offset,"rgb(106, 176, 43)"
eax ebp,"rgb(106, 175, 44)"
or ebx,"rgb(106, 174, 45)"
retn 0,"rgb(106, 173, 46)"
edx edi,"rgb(106, 172, 47)"
ecx ebx,"rgb(106, 171, 48)"
mov [ebp+var_C],"rgb(106, 170, 49)"
edi ecx,"rgb(105, 179, 41)"
push 1,"rgb(105, 178, 42)"
esp 14h,"rgb(105, 177, 43)"
push 2,"rgb(105, 176, 44)"
ptr [ebp-4],"rgb(105, 175, 45)"
push [ebp+var_8],"rgb(105, 174, 46)"
[ebp+var_8] eax,"rgb(105, 173, 47)"
edx [ecx+edx],"rgb(105, 172, 48)"
sub ebp,"rgb(105, 171, 49)"
eax [ebp+var_4],"rgb(104, 179, 42)"
ecx [edx+ecx],"rgb(104, 178, 43)"
push 0Ah,"rgb(104, 177, 44)"
edi edx,"rgb(104, 176, 45)"
eax 1,"rgb(104, 175, 46)"
inc eax,"rgb(104, 174, 47)"
eax [eax+ecx],"rgb(104, 173, 48)"
jbe short,"rgb(104, 172, 49)"
jg short,"rgb(103, 179, 43)"
eax 4,"rgb(103, 178, 44)"
edx ebx,"rgb(103, 177, 45)"
call near,"rgb(103, 176, 46)"
push es,"rgb(103, 175, 47)"
