Term,RGB
mov eax,"rgb(179, 79, 79)"
mov ecx,"rgb(179, 79, 78)"
dword ptr,"rgb(179, 78, 79)"
jz short,"rgb(178, 79, 79)"
eax eax,"rgb(179, 79, 77)"
mov edx,"rgb(179, 78, 78)"
mov esi,"rgb(179, 77, 79)"
push eax,"rgb(178, 79, 78)"
retn,"rgb(178, 78, 79)"
jnz short,"rgb(177, 79, 79)"
push esi,"rgb(179, 79, 76)"
mov edi,"rgb(179, 78, 77)"
byte ptr,"rgb(179, 77, 78)"
lea eax,"rgb(179, 76, 79)"
jmp short,"rgb(178, 79, 77)"
xor eax,"rgb(178, 78, 78)"
pop esi,"rgb(178, 77, 79)"
test eax,"rgb(177, 79, 78)"
lea ecx,"rgb(177, 78, 79)"
cmp eax,"rgb(176, 79, 79)"
push edi,"rgb(179, 79, 75)"
pop ecx,"rgb(179, 78, 76)"
mov ebx,"rgb(179, 77, 77)"
push ebx,"rgb(179, 76, 78)"
mov ebp,"rgb(179, 75, 79)"
mov dword,"rgb(178, 79, 76)"
push ebp,"rgb(178, 78, 77)"
push offset,"rgb(178, 77, 78)"
edi edi,"rgb(178, 76, 79)"
pop edi,"rgb(177, 79, 77)"
push ecx,"rgb(177, 78, 78)"
eax esi,"rgb(177, 77, 79)"
pop ebp,"rgb(176, 79, 78)"
esi eax,"rgb(176, 78, 79)"
jb short,"rgb(175, 79, 79)"
pop ebx,"rgb(179, 79, 74)"
nop,"rgb(179, 78, 75)"
ebp esp,"rgb(179, 77, 76)"
eax ecx,"rgb(179, 76, 77)"
esi esi,"rgb(179, 75, 78)"
ecx esi,"rgb(179, 74, 79)"
ecx eax,"rgb(178, 79, 75)"
esi ecx,"rgb(178, 78, 76)"
sub eax,"rgb(178, 77, 77)"
eax edx,"rgb(178, 76, 78)"
ecx ecx,"rgb(178, 75, 79)"
edx edx,"rgb(177, 79, 76)"
push dword,"rgb(177, 78, 77)"
word ptr,"rgb(177, 77, 78)"
ecx edx,"rgb(177, 76, 79)"
push edx,"rgb(176, 79, 77)"
xor ecx,"rgb(176, 78, 78)"
mov byte,"rgb(176, 77, 79)"
test esi,"rgb(175, 79, 78)"
sub ecx,"rgb(175, 78, 79)"
sub esp,"rgb(174, 79, 79)"
movzx eax,"rgb(179, 79, 73)"
cmp dword,"rgb(179, 78, 74)"
xor edx,"rgb(179, 77, 75)"
edx ecx,"rgb(179, 76, 76)"
push 0,"rgb(179, 75, 77)"
eax ebx,"rgb(179, 74, 78)"
eax edi,"rgb(179, 73, 79)"
retn 4,"rgb(178, 79, 74)"
esp 4,"rgb(178, 78, 75)"
cmp ecx,"rgb(178, 77, 76)"
inc eax,"rgb(178, 76, 77)"
lea edx,"rgb(178, 75, 78)"
and edx,"rgb(178, 74, 79)"
jl short,"rgb(177, 79, 75)"
sub esi,"rgb(177, 78, 76)"
or eax,"rgb(177, 77, 77)"
eax byte,"rgb(177, 76, 78)"
jnb short,"rgb(177, 75, 79)"
ebx ebx,"rgb(176, 79, 76)"
mov al,"rgb(176, 78, 77)"
edx eax,"rgb(176, 77, 78)"
ptr [eax],"rgb(176, 76, 79)"
lea edi,"rgb(175, 79, 77)"
ecx edi,"rgb(175, 78, 78)"
cmp esi,"rgb(175, 77, 79)"
call ??3@YAXPAX@Z,"rgb(174, 79, 78)"
edi eax,"rgb(174, 78, 79)"
ebx eax,"rgb(173, 79, 79)"
xor ebx,"rgb(179, 79, 72)"
ptr [esi],"rgb(179, 78, 73)"
movzx esi,"rgb(179, 77, 74)"
esp 0Ch,"rgb(179, 76, 75)"
cmp edi,"rgb(179, 75, 76)"
mov [ebp+var_4],"rgb(179, 74, 77)"
setnle al,"rgb(179, 73, 78)"
jbe short,"rgb(179, 72, 79)"
eax [eax+eax-1],"rgb(178, 79, 73)"
and ecx,"rgb(178, 78, 74)"
call dword,"rgb(178, 77, 75)"
leave,"rgb(178, 76, 76)"
eax offset,"rgb(178, 75, 77)"
cmp edx,"rgb(178, 74, 78)"
mov cl,"rgb(178, 73, 79)"
and eax,"rgb(177, 79, 74)"
edi esi,"rgb(177, 78, 75)"
lea esi,"rgb(177, 77, 76)"
and dword,"rgb(177, 76, 77)"
large fs:0,"rgb(177, 75, 78)"
mov dl,"rgb(177, 74, 79)"
eax 1,"rgb(176, 79, 75)"
inc edx,"rgb(176, 78, 76)"
edx,"rgb(176, 77, 77)"
esi edx,"rgb(176, 76, 78)"
xor edi,"rgb(176, 75, 79)"
jge short,"rgb(175, 79, 76)"
esp 10h,"rgb(175, 78, 77)"
test edi,"rgb(175, 77, 78)"
mov [eax],"rgb(175, 76, 79)"
eax [ebp+arg_0],"rgb(174, 79, 77)"
test ecx,"rgb(174, 78, 78)"
pop eax,"rgb(174, 77, 79)"
edi ecx,"rgb(173, 79, 78)"
esi byte,"rgb(173, 78, 79)"
pushf,"rgb(172, 79, 79)"
or edx,"rgb(179, 79, 71)"
esp 8,"rgb(179, 78, 72)"
popf,"rgb(179, 77, 73)"
xor esi,"rgb(179, 76, 74)"
retn 8,"rgb(179, 75, 75)"
cmp ebx,"rgb(179, 74, 76)"
mov word,"rgb(179, 73, 77)"
ecx ebx,"rgb(179, 72, 78)"
ebx ecx,"rgb(179, 71, 79)"
jns short,"rgb(178, 79, 72)"
xchg eax,"rgb(178, 78, 73)"
sar eax,"rgb(178, 77, 74)"
eax 5,"rgb(178, 76, 75)"
ecx offset,"rgb(178, 75, 76)"
imul eax,"rgb(178, 74, 77)"
mov [ecx],"rgb(178, 73, 78)"
push 1,"rgb(178, 72, 79)"
tbyte ptr,"rgb(177, 79, 73)"
eax 3,"rgb(177, 78, 74)"
shl edx,"rgb(177, 77, 75)"
edx cl,"rgb(177, 76, 76)"
lea ebx,"rgb(177, 75, 77)"
esi ebx,"rgb(177, 74, 78)"
call esi,"rgb(177, 73, 79)"
cdq,"rgb(176, 79, 74)"
stosd,"rgb(176, 78, 75)"
shl eax,"rgb(176, 77, 76)"
edi edx,"rgb(176, 76, 77)"
imul ecx,"rgb(176, 75, 78)"
shl esi,"rgb(176, 74, 79)"
mov large,"rgb(175, 79, 75)"
esp 2Ch,"rgb(175, 78, 76)"
mov [ebp+var_10],"rgb(175, 77, 77)"
edx ebx,"rgb(175, 76, 78)"
qword ptr,"rgb(175, 75, 79)"
edx esi,"rgb(174, 79, 76)"
ecx [ebp+var_4],"rgb(174, 78, 77)"
eax,"rgb(174, 77, 78)"
sub edx,"rgb(174, 76, 79)"
test edx,"rgb(173, 79, 77)"
push 2,"rgb(173, 78, 78)"
ecx [eax],"rgb(173, 77, 79)"
or esi,"rgb(172, 79, 78)"
[esi] offset,"rgb(172, 78, 79)"
ebx edx,"rgb(171, 79, 79)"
eax 0FFFFFFFFh,"rgb(179, 79, 70)"
movsd,"rgb(179, 78, 71)"
jle short,"rgb(179, 77, 72)"
fstp tbyte,"rgb(179, 76, 73)"
inc esi,"rgb(179, 75, 74)"
esi cl,"rgb(179, 74, 75)"
push 5,"rgb(179, 73, 76)"
ja short,"rgb(179, 72, 77)"
eax 2,"rgb(179, 71, 78)"
edi ebx,"rgb(179, 70, 79)"
mul ecx,"rgb(178, 79, 71)"
ptr [ebp+8],"rgb(178, 78, 72)"
ptr [ebp-4],"rgb(178, 77, 73)"
ecx [ebp+arg_0],"rgb(178, 76, 74)"
esi edi,"rgb(178, 75, 75)"
fxch st(1),"rgb(178, 74, 76)"
mov [ebp+var_C],"rgb(178, 73, 77)"
ptr [ecx],"rgb(178, 72, 78)"
movzx ecx,"rgb(178, 71, 79)"
dup(0CCh),"rgb(177, 79, 72)"
