Term,RGB
mov eax,"rgb(173, 99, 49)"
mov ecx,"rgb(173, 99, 48)"
jz short,"rgb(173, 98, 49)"
push eax,"rgb(172, 99, 49)"
eax eax,"rgb(173, 99, 47)"
dword ptr,"rgb(173, 98, 48)"
mov edx,"rgb(173, 97, 49)"
jnz short,"rgb(172, 99, 48)"
push esi,"rgb(172, 98, 49)"
mov esi,"rgb(171, 99, 49)"
jmp short,"rgb(173, 99, 46)"
push offset,"rgb(173, 98, 47)"
mov edi,"rgb(173, 97, 48)"
test eax,"rgb(173, 96, 49)"
lea eax,"rgb(172, 99, 47)"
push edi,"rgb(172, 98, 48)"
xor eax,"rgb(172, 97, 49)"
push ebx,"rgb(171, 99, 48)"
pop esi,"rgb(171, 98, 49)"
push ecx,"rgb(170, 99, 49)"
retn,"rgb(173, 99, 45)"
mov ebp,"rgb(173, 98, 46)"
byte ptr,"rgb(173, 97, 47)"
lea ecx,"rgb(173, 96, 48)"
push ebp,"rgb(173, 95, 49)"
cmp eax,"rgb(172, 99, 46)"
pop ecx,"rgb(172, 98, 47)"
mov ebx,"rgb(172, 97, 48)"
pop edi,"rgb(172, 96, 49)"
jle short,"rgb(171, 99, 47)"
jge short,"rgb(171, 98, 48)"
push edx,"rgb(171, 97, 49)"
pop ebx,"rgb(170, 99, 48)"
sub eax,"rgb(170, 98, 49)"
ebp esp,"rgb(169, 99, 49)"
pop ebp,"rgb(173, 99, 44)"
edi edi,"rgb(173, 98, 45)"
mov al,"rgb(173, 97, 46)"
ecx eax,"rgb(173, 96, 47)"
ecx ecx,"rgb(173, 95, 48)"
eax ecx,"rgb(173, 94, 49)"
mov dword,"rgb(172, 99, 45)"
mov byte,"rgb(172, 98, 46)"
esi eax,"rgb(172, 97, 47)"
eax esi,"rgb(172, 96, 48)"
lea edx,"rgb(172, 95, 49)"
and eax,"rgb(171, 99, 46)"
esi esi,"rgb(171, 98, 47)"
push dword,"rgb(171, 97, 48)"
xor ecx,"rgb(171, 96, 49)"
sub esp,"rgb(170, 99, 47)"
sub ecx,"rgb(170, 98, 48)"
or eax,"rgb(170, 97, 49)"
edx edx,"rgb(169, 99, 48)"
push 0,"rgb(169, 98, 49)"
cmp ecx,"rgb(168, 99, 49)"
test ecx,"rgb(173, 99, 43)"
eax edx,"rgb(173, 98, 44)"
leave,"rgb(173, 97, 45)"
edi eax,"rgb(173, 96, 46)"
cmp esi,"rgb(173, 95, 47)"
edx ecx,"rgb(173, 94, 48)"
xor edx,"rgb(173, 93, 49)"
eax edi,"rgb(172, 99, 44)"
ecx edx,"rgb(172, 98, 45)"
eax offset,"rgb(172, 97, 46)"
jl short,"rgb(172, 96, 47)"
retn 4,"rgb(172, 95, 48)"
test esi,"rgb(172, 94, 49)"
edx eax,"rgb(171, 99, 45)"
call dword,"rgb(171, 98, 46)"
sub edx,"rgb(171, 97, 47)"
imul eax,"rgb(171, 96, 48)"
jb short,"rgb(171, 95, 49)"
ecx esi,"rgb(170, 99, 46)"
eax ebx,"rgb(170, 98, 47)"
ebx ebx,"rgb(170, 97, 48)"
test edx,"rgb(170, 96, 49)"
movzx eax,"rgb(169, 99, 47)"
