Term,RGB
qword ptr,"rgb(0, 181, 255)"
mov eax,"rgb(0, 181, 254)"
dword ptr,"rgb(0, 180, 255)"
mov ecx,"rgb(0, 181, 253)"
byte ptr,"rgb(0, 180, 254)"
mov edx,"rgb(0, 179, 255)"
nop,"rgb(0, 181, 252)"
push eax,"rgb(0, 180, 253)"
mov dword,"rgb(0, 179, 254)"
sub eax,"rgb(0, 178, 255)"
eax eax,"rgb(0, 181, 251)"
push ecx,"rgb(0, 180, 252)"
word ptr,"rgb(0, 179, 253)"
push edx,"rgb(0, 178, 254)"
sub ecx,"rgb(0, 177, 255)"
sub edx,"rgb(0, 181, 250)"
eax 1,"rgb(0, 180, 251)"
test eax,"rgb(0, 179, 252)"
ecx 1,"rgb(0, 178, 253)"
edx 1,"rgb(0, 177, 254)"
ptr [eax],"rgb(0, 176, 255)"
nop dword,"rgb(0, 181, 249)"
mov byte,"rgb(0, 180, 250)"
cmp eax,"rgb(0, 179, 251)"
eax dword,"rgb(0, 178, 252)"
xor eax,"rgb(0, 177, 253)"
mov ebp,"rgb(0, 176, 254)"
mov edi,"rgb(0, 175, 255)"
push ebp,"rgb(0, 181, 248)"
lea eax,"rgb(0, 180, 249)"
mov esi,"rgb(0, 179, 250)"
cmp dword,"rgb(0, 178, 251)"
push esi,"rgb(0, 177, 252)"
ebp esp,"rgb(0, 176, 253)"
pop ebp,"rgb(0, 175, 254)"
[eax] al,"rgb(0, 174, 255)"
movzx eax,"rgb(0, 181, 247)"
push edi,"rgb(0, 180, 248)"
mov ebx,"rgb(0, 179, 249)"
push dword,"rgb(0, 178, 250)"
xmmword ptr,"rgb(0, 177, 251)"
nop word,"rgb(0, 176, 252)"
lea ecx,"rgb(0, 175, 253)"
push ebx,"rgb(0, 174, 254)"
edx edx,"rgb(0, 173, 255)"
cmp byte,"rgb(0, 181, 246)"
sub esp,"rgb(0, 180, 247)"
xor edx,"rgb(0, 179, 248)"
ecx ecx,"rgb(0, 178, 249)"
edi edi,"rgb(0, 177, 250)"
mov esp,"rgb(0, 176, 251)"
xor ecx,"rgb(0, 175, 252)"
pop esi,"rgb(0, 174, 253)"
call dword,"rgb(0, 173, 254)"
cmp ecx,"rgb(0, 172, 255)"
esp ebp,"rgb(0, 181, 245)"
ecx dword,"rgb(0, 180, 246)"
pop ecx,"rgb(0, 179, 247)"
movzx ecx,"rgb(0, 178, 248)"
movzx edx,"rgb(0, 177, 249)"
mov word,"rgb(0, 176, 250)"
pop edi,"rgb(0, 175, 251)"
edx dword,"rgb(0, 174, 252)"
test al,"rgb(0, 173, 253)"
and eax,"rgb(0, 172, 254)"
eax byte,"rgb(0, 171, 255)"
lea edx,"rgb(0, 181, 244)"
cmp edx,"rgb(0, 180, 245)"
esi esi,"rgb(0, 179, 246)"
ecx eax,"rgb(0, 178, 247)"
eax ecx,"rgb(0, 177, 248)"
pop ebx,"rgb(0, 176, 249)"
al al,"rgb(0, 175, 250)"
ebx ebx,"rgb(0, 174, 251)"
eax esi,"rgb(0, 173, 252)"
esp 8,"rgb(0, 172, 253)"
esp 4,"rgb(0, 171, 254)"
xor esi,"rgb(0, 170, 255)"
or eax,"rgb(0, 181, 243)"
eax ebx,"rgb(0, 180, 244)"
ptr [ecx],"rgb(0, 179, 245)"
mov al,"rgb(0, 178, 246)"
push 0,"rgb(0, 177, 247)"
add dword,"rgb(0, 176, 248)"
eax edx,"rgb(0, 175, 249)"
esi eax,"rgb(0, 174, 250)"
add eax,"rgb(0, 173, 251)"
ptr [esi],"rgb(0, 172, 252)"
shl eax,"rgb(0, 171, 253)"
eax edi,"rgb(0, 170, 254)"
cmp esi,"rgb(0, 169, 255)"
shl edx,"rgb(0, 181, 242)"
xor ebx,"rgb(0, 180, 243)"
cmp al,"rgb(0, 179, 244)"
edx cl,"rgb(0, 178, 245)"
test byte,"rgb(0, 177, 246)"
edx eax,"rgb(0, 176, 247)"
and dword,"rgb(0, 175, 248)"
inc eax,"rgb(0, 174, 249)"
xor edi,"rgb(0, 173, 250)"
edi eax,"rgb(0, 172, 251)"
ebx eax,"rgb(0, 171, 252)"
edx byte,"rgb(0, 170, 253)"
and byte,"rgb(0, 169, 254)"
ecx esi,"rgb(0, 168, 255)"
leave,"rgb(0, 181, 241)"
dec ebx,"rgb(0, 180, 242)"
sar edx,"rgb(0, 179, 243)"
eax cl,"rgb(0, 178, 244)"
esi dword,"rgb(0, 177, 245)"
cmp edi,"rgb(0, 176, 246)"
and ecx,"rgb(0, 175, 247)"
eax word,"rgb(0, 174, 248)"
cmp word,"rgb(0, 173, 249)"
al byte,"rgb(0, 172, 250)"
push 1,"rgb(0, 171, 251)"
test ecx,"rgb(0, 170, 252)"
ecx edx,"rgb(0, 169, 253)"
cmp ebx,"rgb(0, 168, 254)"
push es,"rgb(0, 167, 255)"
test esi,"rgb(0, 181, 240)"
mov cl,"rgb(0, 180, 241)"
eax 0,"rgb(0, 179, 242)"
edi dword,"rgb(0, 178, 243)"
or ecx,"rgb(0, 177, 244)"
eax 2,"rgb(0, 176, 245)"
xmm0 xmmword,"rgb(0, 175, 246)"
test edx,"rgb(0, 174, 247)"
test edi,"rgb(0, 173, 248)"
esi ecx,"rgb(0, 172, 249)"
or byte,"rgb(0, 171, 250)"
movups xmmword,"rgb(0, 170, 251)"
edx ecx,"rgb(0, 169, 252)"
sar eax,"rgb(0, 168, 253)"
and edx,"rgb(0, 167, 254)"
ptr [edx],"rgb(0, 166, 255)"
inc esi,"rgb(0, 181, 239)"
inc ecx,"rgb(0, 180, 240)"
test ebx,"rgb(0, 179, 241)"
inc edi,"rgb(0, 178, 242)"
ecx byte,"rgb(0, 177, 243)"
ecx 2,"rgb(0, 176, 244)"
shl ecx,"rgb(0, 175, 245)"
call esi,"rgb(0, 174, 246)"
add al,"rgb(0, 173, 247)"
ptr [edi],"rgb(0, 172, 248)"
cdq,"rgb(0, 171, 249)"
ebx dword,"rgb(0, 170, 250)"
ecx ebx,"rgb(0, 169, 251)"
ecx edi,"rgb(0, 168, 252)"
movaps xmmword,"rgb(0, 167, 253)"
ecx 0,"rgb(0, 166, 254)"
inc ebx,"rgb(0, 165, 255)"
ptr [ebx],"rgb(0, 181, 238)"
mov dl,"rgb(0, 180, 239)"
xor byte,"rgb(0, 179, 240)"
lea edi,"rgb(0, 178, 241)"
xor al,"rgb(0, 177, 242)"
edx word,"rgb(0, 176, 243)"
add edx,"rgb(0, 175, 244)"
or dword,"rgb(0, 174, 245)"
cmp dl,"rgb(0, 173, 246)"
and al,"rgb(0, 172, 247)"
inc edx,"rgb(0, 171, 248)"
