Term,RGB
qword ptr,"rgb(240, 169, 129)"
mov eax,"rgb(240, 169, 128)"
byte ptr,"rgb(240, 168, 129)"
dword ptr,"rgb(240, 169, 127)"
mov ecx,"rgb(240, 168, 128)"
nop,"rgb(240, 167, 129)"
eax eax,"rgb(240, 169, 126)"
mov edx,"rgb(240, 168, 127)"
push eax,"rgb(240, 167, 128)"
mov esi,"rgb(240, 166, 129)"
test eax,"rgb(240, 169, 125)"
xor eax,"rgb(240, 168, 126)"
push esi,"rgb(240, 167, 127)"
mov edi,"rgb(240, 166, 128)"
mov dword,"rgb(240, 165, 129)"
push ecx,"rgb(240, 169, 124)"
push edi,"rgb(240, 168, 125)"
mov ebx,"rgb(240, 167, 126)"
mov byte,"rgb(240, 166, 127)"
lea eax,"rgb(240, 165, 128)"
mov ebp,"rgb(240, 164, 129)"
sub eax,"rgb(240, 169, 123)"
push ebx,"rgb(240, 168, 124)"
word ptr,"rgb(240, 167, 125)"
cmp eax,"rgb(240, 166, 126)"
pop esi,"rgb(240, 165, 127)"
ecx ecx,"rgb(240, 164, 128)"
push ebp,"rgb(240, 163, 129)"
mov al,"rgb(240, 169, 122)"
push edx,"rgb(240, 168, 123)"
ecx eax,"rgb(240, 167, 124)"
xor ecx,"rgb(240, 166, 125)"
eax ecx,"rgb(240, 165, 126)"
and eax,"rgb(240, 164, 127)"
edx edx,"rgb(240, 163, 128)"
lea ecx,"rgb(240, 162, 129)"
pop edi,"rgb(240, 169, 121)"
xor edx,"rgb(240, 168, 122)"
or eax,"rgb(240, 167, 123)"
sub ecx,"rgb(240, 166, 124)"
pop ecx,"rgb(240, 165, 125)"
ptr [eax],"rgb(240, 164, 126)"
test ecx,"rgb(240, 163, 127)"
movzx eax,"rgb(240, 162, 128)"
eax dword,"rgb(240, 161, 129)"
lea edx,"rgb(240, 169, 120)"
pop ebx,"rgb(240, 168, 121)"
eax edx,"rgb(240, 167, 122)"
imul eax,"rgb(240, 166, 123)"
edx ecx,"rgb(240, 165, 124)"
ecx edx,"rgb(240, 164, 125)"
esi eax,"rgb(240, 163, 126)"
sub edx,"rgb(240, 162, 127)"
cmp ecx,"rgb(240, 161, 128)"
edx eax,"rgb(240, 160, 129)"
test edx,"rgb(240, 169, 119)"
eax esi,"rgb(240, 168, 120)"
ebp esp,"rgb(240, 167, 121)"
esi esi,"rgb(240, 166, 122)"
[eax] al,"rgb(240, 165, 123)"
pop eax,"rgb(240, 164, 124)"
pop ebp,"rgb(240, 163, 125)"
edi eax,"rgb(240, 162, 126)"
edi edi,"rgb(240, 161, 127)"
cmp dword,"rgb(240, 160, 128)"
cmp edx,"rgb(240, 159, 129)"
and ecx,"rgb(240, 169, 118)"
xor esi,"rgb(240, 168, 119)"
cmp esi,"rgb(240, 167, 120)"
xmmword ptr,"rgb(240, 166, 121)"
sub esi,"rgb(240, 165, 122)"
movzx edx,"rgb(240, 164, 123)"
sub esp,"rgb(240, 163, 124)"
or ecx,"rgb(240, 162, 125)"
and edx,"rgb(240, 161, 126)"
movzx ecx,"rgb(240, 160, 127)"
sbb eax,"rgb(240, 159, 128)"
cmp byte,"rgb(240, 158, 129)"
eax edi,"rgb(240, 169, 117)"
test esi,"rgb(240, 168, 118)"
ebx eax,"rgb(240, 167, 119)"
leave,"rgb(240, 166, 120)"
ebx ebx,"rgb(240, 165, 121)"
or edx,"rgb(240, 164, 122)"
imul ecx,"rgb(240, 163, 123)"
cmp edi,"rgb(240, 162, 124)"
pop edx,"rgb(240, 161, 125)"
eax ebx,"rgb(240, 160, 126)"
xor edi,"rgb(240, 159, 127)"
ecx dword,"rgb(240, 158, 128)"
and esi,"rgb(240, 157, 129)"
push dword,"rgb(240, 169, 116)"
eax 1,"rgb(240, 168, 117)"
eax byte,"rgb(240, 167, 118)"
or esi,"rgb(240, 166, 119)"
sbb edx,"rgb(240, 165, 120)"
test edi,"rgb(240, 164, 121)"
sbb ecx,"rgb(240, 163, 122)"
sub edi,"rgb(240, 162, 123)"
push 0,"rgb(240, 161, 124)"
lea esi,"rgb(240, 160, 125)"
ecx esi,"rgb(240, 159, 126)"
edx dword,"rgb(240, 158, 127)"
mov cl,"rgb(240, 157, 128)"
cmp ebx,"rgb(240, 156, 129)"
esi edi,"rgb(240, 169, 115)"
xor ebx,"rgb(240, 168, 116)"
shl eax,"rgb(240, 167, 117)"
test al,"rgb(240, 166, 118)"
imul esi,"rgb(240, 165, 119)"
mov word,"rgb(240, 164, 120)"
test ebx,"rgb(240, 163, 121)"
edi esi,"rgb(240, 162, 122)"
lea edi,"rgb(240, 161, 123)"
mov dl,"rgb(240, 160, 124)"
or edi,"rgb(240, 159, 125)"
al al,"rgb(240, 158, 126)"
esi ecx,"rgb(240, 157, 127)"
ebp eax,"rgb(240, 156, 128)"
sub ebx,"rgb(240, 155, 129)"
esi ebx,"rgb(240, 169, 114)"
and edi,"rgb(240, 168, 115)"
ecx edi,"rgb(240, 167, 116)"
add eax,"rgb(240, 166, 117)"
edx esi,"rgb(240, 165, 118)"
imul edx,"rgb(240, 164, 119)"
edx byte,"rgb(240, 163, 120)"
ecx 1,"rgb(240, 162, 121)"
eax word,"rgb(240, 161, 122)"
edx 1,"rgb(240, 160, 123)"
edi ebx,"rgb(240, 159, 124)"
esi edx,"rgb(240, 158, 125)"
ecx byte,"rgb(240, 157, 126)"
test byte,"rgb(240, 156, 127)"
ebp ebp,"rgb(240, 155, 128)"
lea ebx,"rgb(240, 154, 129)"
cmp al,"rgb(240, 169, 113)"
eax ebp,"rgb(240, 168, 114)"
ecx ebx,"rgb(240, 167, 115)"
ptr [esi],"rgb(240, 166, 116)"
al byte,"rgb(240, 165, 117)"
ebx esi,"rgb(240, 164, 118)"
esp 8,"rgb(240, 163, 119)"
dec ebx,"rgb(240, 162, 120)"
shl ecx,"rgb(240, 161, 121)"
ebx edi,"rgb(240, 160, 122)"
inc eax,"rgb(240, 159, 123)"
imul edi,"rgb(240, 158, 124)"
edx edi,"rgb(240, 157, 125)"
and ebx,"rgb(240, 156, 126)"
esi dword,"rgb(240, 155, 127)"
