Term,RGB
mov eax,"rgb(54, 199, 49)"
dword ptr,"rgb(54, 199, 48)"
mov ecx,"rgb(54, 198, 49)"
push eax,"rgb(53, 199, 49)"
jz short,"rgb(54, 199, 47)"
mov edi,"rgb(54, 198, 48)"
retn,"rgb(54, 197, 49)"
eax eax,"rgb(53, 199, 48)"
push esi,"rgb(53, 198, 49)"
jnz short,"rgb(52, 199, 49)"
push edi,"rgb(54, 199, 46)"
push dword,"rgb(54, 198, 47)"
mov ebp,"rgb(54, 197, 48)"
push ebp,"rgb(54, 196, 49)"
mov edx,"rgb(53, 199, 47)"
mov esi,"rgb(53, 198, 48)"
push ecx,"rgb(53, 197, 49)"
edi edi,"rgb(52, 199, 48)"
push ebx,"rgb(52, 198, 49)"
ebp esp,"rgb(51, 199, 49)"
pop ebp,"rgb(54, 199, 45)"
pop ecx,"rgb(54, 198, 46)"
lea eax,"rgb(54, 197, 47)"
pop edi,"rgb(54, 196, 48)"
jmp short,"rgb(54, 195, 49)"
sub esp,"rgb(53, 199, 46)"
test eax,"rgb(53, 198, 47)"
push edx,"rgb(53, 197, 48)"
pop esi,"rgb(53, 196, 49)"
lea ecx,"rgb(52, 199, 47)"
push 0,"rgb(52, 198, 48)"
cmp eax,"rgb(52, 197, 49)"
byte ptr,"rgb(51, 199, 48)"
xor eax,"rgb(51, 198, 49)"
mov ebx,"rgb(50, 199, 49)"
nop,"rgb(54, 199, 44)"
pop eax,"rgb(54, 198, 45)"
push offset,"rgb(54, 197, 46)"
esp 4,"rgb(54, 196, 47)"
pop ebx,"rgb(54, 195, 48)"
mov dword,"rgb(54, 194, 49)"
call dword,"rgb(53, 199, 45)"
esp 0Ch,"rgb(53, 198, 46)"
ptr [eax],"rgb(53, 197, 47)"
ecx ecx,"rgb(53, 196, 48)"
eax offset,"rgb(53, 195, 49)"
pop edx,"rgb(52, 199, 46)"
esp 10h,"rgb(52, 198, 47)"
lea edx,"rgb(52, 197, 48)"
esp 8,"rgb(52, 196, 49)"
esi esi,"rgb(51, 199, 47)"
eax esi,"rgb(51, 198, 48)"
xor ecx,"rgb(51, 197, 49)"
esi eax,"rgb(50, 199, 48)"
call eax,"rgb(50, 198, 49)"
call edi,"rgb(54, 199, 43)"
mov byte,"rgb(54, 198, 44)"
lea edi,"rgb(54, 197, 45)"
leave,"rgb(54, 196, 46)"
lea esi,"rgb(54, 195, 47)"
ecx eax,"rgb(54, 194, 48)"
cmp ecx,"rgb(54, 193, 49)"
ecx esi,"rgb(53, 199, 44)"
sub eax,"rgb(53, 198, 45)"
cmp esi,"rgb(53, 197, 46)"
ebx ebx,"rgb(53, 196, 47)"
eax edi,"rgb(53, 195, 48)"
eax ebx,"rgb(53, 194, 49)"
esi ecx,"rgb(52, 199, 45)"
inc eax,"rgb(52, 198, 46)"
edi eax,"rgb(52, 197, 47)"
retn 4,"rgb(52, 196, 48)"
edx edx,"rgb(52, 195, 49)"
test esi,"rgb(51, 199, 46)"
jb short,"rgb(51, 198, 47)"
mov al,"rgb(51, 197, 48)"
push 1,"rgb(51, 196, 49)"
mov [ebp+var_4],"rgb(50, 199, 47)"
dup(0CCh),"rgb(50, 198, 48)"
eax ecx,"rgb(50, 197, 49)"
ecx [eax],"rgb(54, 199, 42)"
ptr [esi],"rgb(54, 198, 43)"
eax [ebp+arg_0],"rgb(54, 197, 44)"
word ptr,"rgb(54, 196, 45)"
cmp edi,"rgb(54, 195, 46)"
jl short,"rgb(54, 194, 47)"
