Term,RGB
qword ptr,"rgb(150, 229, 230)"
dword ptr,"rgb(150, 229, 229)"
byte ptr,"rgb(150, 228, 230)"
nop,"rgb(150, 229, 228)"
push dword,"rgb(150, 228, 229)"
mov edi,"rgb(150, 227, 230)"
mov eax,"rgb(150, 229, 227)"
edi edi,"rgb(150, 228, 228)"
push eax,"rgb(150, 227, 229)"
mov ebp,"rgb(150, 226, 230)"
sub esp,"rgb(150, 229, 226)"
pop ebp,"rgb(150, 228, 227)"
push ebp,"rgb(150, 227, 228)"
ebp esp,"rgb(150, 226, 229)"
mov dword,"rgb(150, 225, 230)"
push edi,"rgb(150, 229, 225)"
push ecx,"rgb(150, 228, 226)"
push edx,"rgb(150, 227, 227)"
eax eax,"rgb(150, 226, 228)"
mov ecx,"rgb(150, 225, 229)"
pop eax,"rgb(150, 224, 230)"
pop edi,"rgb(150, 229, 224)"
push 0,"rgb(150, 228, 225)"
mov edx,"rgb(150, 227, 226)"
esp 4,"rgb(150, 226, 227)"
ptr [eax],"rgb(150, 225, 228)"
push esi,"rgb(150, 224, 229)"
word ptr,"rgb(150, 223, 230)"
push ebx,"rgb(150, 229, 223)"
pop ecx,"rgb(150, 228, 224)"
test eax,"rgb(150, 227, 225)"
pop edx,"rgb(150, 226, 226)"
eax dword,"rgb(150, 225, 227)"
mov byte,"rgb(150, 224, 228)"
xor eax,"rgb(150, 223, 229)"
ecx ecx,"rgb(150, 222, 230)"
mov ebx,"rgb(150, 229, 222)"
esp 8,"rgb(150, 228, 223)"
mov esi,"rgb(150, 227, 224)"
xor ecx,"rgb(150, 226, 225)"
[eax] al,"rgb(150, 225, 226)"
call eax,"rgb(150, 224, 227)"
lea eax,"rgb(150, 223, 228)"
call dword,"rgb(150, 222, 229)"
cmp eax,"rgb(150, 221, 230)"
cmp byte,"rgb(150, 229, 221)"
edx edx,"rgb(150, 228, 222)"
call edi,"rgb(150, 227, 223)"
lea ecx,"rgb(150, 226, 224)"
pop esi,"rgb(150, 225, 225)"
xor edx,"rgb(150, 224, 226)"
lea edx,"rgb(150, 223, 227)"
pop ebx,"rgb(150, 222, 228)"
ecx dword,"rgb(150, 221, 229)"
edx dword,"rgb(150, 229, 220)"
lea edi,"rgb(150, 228, 221)"
lea esi,"rgb(150, 227, 222)"
lea ebx,"rgb(150, 226, 223)"
eax 0,"rgb(150, 225, 224)"
eax 1,"rgb(150, 224, 225)"
mov word,"rgb(150, 223, 226)"
edx 0,"rgb(150, 222, 227)"
ecx 0,"rgb(150, 221, 228)"
test al,"rgb(150, 229, 219)"
edi 0,"rgb(150, 228, 220)"
al al,"rgb(150, 227, 221)"
esi 0,"rgb(150, 226, 222)"
ebx 0,"rgb(150, 225, 223)"
sub eax,"rgb(150, 224, 224)"
and eax,"rgb(150, 223, 225)"
xor esi,"rgb(150, 222, 226)"
ebx ebx,"rgb(150, 221, 227)"
esi esi,"rgb(150, 229, 218)"
cmp ecx,"rgb(150, 228, 219)"
cmp edx,"rgb(150, 227, 220)"
ecx eax,"rgb(150, 226, 221)"
cmp al,"rgb(150, 225, 222)"
xor edi,"rgb(150, 224, 223)"
ptr [esi],"rgb(150, 223, 224)"
xor ebx,"rgb(150, 222, 225)"
pop dword,"rgb(150, 221, 226)"
edx 1,"rgb(150, 229, 217)"
ptr [ecx],"rgb(150, 228, 218)"
cmp ebx,"rgb(150, 227, 219)"
esi dword,"rgb(150, 226, 220)"
ecx 1,"rgb(150, 225, 221)"
or eax,"rgb(150, 224, 222)"
test byte,"rgb(150, 223, 223)"
cmp esi,"rgb(150, 222, 224)"
cmp edi,"rgb(150, 221, 225)"
eax ecx,"rgb(150, 230, 215)"
sub ecx,"rgb(150, 229, 216)"
edi dword,"rgb(150, 228, 217)"
eax edx,"rgb(150, 227, 218)"
edx eax,"rgb(150, 226, 219)"
and dword,"rgb(150, 225, 220)"
ebx eax,"rgb(150, 224, 221)"
eax ebx,"rgb(150, 223, 222)"
edi eax,"rgb(150, 222, 223)"
esi eax,"rgb(150, 221, 224)"
ebx dword,"rgb(150, 230, 214)"
test edx,"rgb(150, 229, 215)"
and edx,"rgb(150, 228, 216)"
test ecx,"rgb(150, 227, 217)"
mov al,"rgb(150, 226, 218)"
eax edi,"rgb(150, 225, 219)"
and ecx,"rgb(150, 224, 220)"
sub edx,"rgb(150, 223, 221)"
eax esi,"rgb(150, 222, 222)"
ptr [ebx],"rgb(150, 221, 223)"
ecx edx,"rgb(150, 230, 213)"
or dword,"rgb(150, 229, 214)"
ptr [edi],"rgb(150, 228, 215)"
ecx esi,"rgb(150, 227, 216)"
push es,"rgb(150, 226, 217)"
test ebx,"rgb(150, 225, 218)"
ptr [edx],"rgb(150, 224, 219)"
sub edi,"rgb(150, 223, 220)"
eax 2,"rgb(150, 222, 221)"
test edi,"rgb(150, 221, 222)"
sub esi,"rgb(150, 230, 212)"
edx ecx,"rgb(150, 229, 213)"
ecx ebx,"rgb(150, 228, 214)"
ecx 2,"rgb(150, 227, 215)"
sub ebx,"rgb(150, 226, 216)"
test esi,"rgb(150, 225, 217)"
al 0,"rgb(150, 224, 218)"
and byte,"rgb(150, 223, 219)"
and ebx,"rgb(150, 222, 220)"
ecx edi,"rgb(150, 221, 221)"
jmp dword,"rgb(150, 230, 211)"
and esi,"rgb(150, 229, 212)"
or ecx,"rgb(150, 228, 213)"
ebx ecx,"rgb(150, 227, 214)"
and edi,"rgb(150, 226, 215)"
esi ecx,"rgb(150, 225, 216)"
ebx edx,"rgb(150, 224, 217)"
inc eax,"rgb(150, 223, 218)"
ecx 4,"rgb(150, 222, 219)"
sub dword,"rgb(150, 221, 220)"
edx esi,"rgb(150, 230, 210)"
eax 4,"rgb(150, 229, 211)"
sbb eax,"rgb(150, 228, 212)"
or edx,"rgb(150, 227, 213)"
