Term,RGB
mov eax,"rgb(92, 40, 230)"
mov ecx,"rgb(92, 40, 229)"
mov edx,"rgb(92, 39, 230)"
jz short,"rgb(91, 40, 230)"
push eax,"rgb(92, 40, 228)"
jmp short,"rgb(92, 39, 229)"
eax eax,"rgb(92, 38, 230)"
push offset,"rgb(91, 40, 229)"
push ecx,"rgb(91, 39, 230)"
sub eax,"rgb(90, 40, 230)"
jnz short,"rgb(92, 40, 227)"
push edx,"rgb(92, 39, 228)"
mov esi,"rgb(92, 38, 229)"
push esi,"rgb(92, 37, 230)"
mov [ebp+var_4],"rgb(91, 40, 228)"
dword ptr,"rgb(91, 39, 229)"
sub ecx,"rgb(91, 38, 230)"
mov edi,"rgb(90, 40, 229)"
xor eax,"rgb(90, 39, 230)"
sub edx,"rgb(89, 40, 230)"
push edi,"rgb(92, 40, 226)"
test eax,"rgb(92, 39, 227)"
jge short,"rgb(92, 38, 228)"
mov ebp,"rgb(92, 37, 229)"
jle short,"rgb(92, 36, 230)"
push ebp,"rgb(91, 40, 227)"
byte ptr,"rgb(91, 39, 228)"
lea eax,"rgb(91, 38, 229)"
push ebx,"rgb(91, 37, 230)"
mov [ebp+var_8],"rgb(90, 40, 228)"
pop esi,"rgb(90, 39, 229)"
mov ebx,"rgb(90, 38, 230)"
cmp eax,"rgb(89, 40, 229)"
retn,"rgb(89, 39, 230)"
lea ecx,"rgb(88, 40, 230)"
near ptr,"rgb(92, 40, 225)"
mov al,"rgb(92, 39, 226)"
pop edi,"rgb(92, 38, 227)"
ebp esp,"rgb(92, 37, 228)"
mov [ebp+var_C],"rgb(92, 36, 229)"
ecx eax,"rgb(92, 35, 230)"
eax ecx,"rgb(91, 40, 226)"
eax [ebp+var_4],"rgb(91, 39, 227)"
pop ebp,"rgb(91, 38, 228)"
and eax,"rgb(91, 37, 229)"
ecx [ebp+var_4],"rgb(91, 36, 230)"
eax 1,"rgb(90, 40, 227)"
pop ecx,"rgb(90, 39, 228)"
ecx ecx,"rgb(90, 38, 229)"
or eax,"rgb(90, 37, 230)"
pop ebx,"rgb(89, 40, 228)"
xor ecx,"rgb(89, 39, 229)"
ecx 1,"rgb(89, 38, 230)"
edx 1,"rgb(88, 40, 229)"
mov byte,"rgb(88, 39, 230)"
sub esp,"rgb(87, 40, 230)"
lea edx,"rgb(92, 40, 224)"
cmp ecx,"rgb(92, 39, 225)"
mov [ebp+var_10],"rgb(92, 38, 226)"
edx [ebp+var_4],"rgb(92, 37, 227)"
[ebp+var_4] eax,"rgb(92, 36, 228)"
test ecx,"rgb(92, 35, 229)"
imul eax,"rgb(92, 34, 230)"
xor edx,"rgb(91, 40, 225)"
eax edx,"rgb(91, 39, 226)"
word ptr,"rgb(91, 38, 227)"
edx ecx,"rgb(91, 37, 228)"
esi eax,"rgb(91, 36, 229)"
edx edx,"rgb(91, 35, 230)"
eax esi,"rgb(90, 40, 226)"
ecx edx,"rgb(90, 39, 227)"
edx eax,"rgb(90, 38, 228)"
eax [ebp+var_8],"rgb(90, 37, 229)"
edi edi,"rgb(90, 36, 230)"
movzx eax,"rgb(89, 40, 227)"
ecx [ebp+var_8],"rgb(89, 39, 228)"
pop eax,"rgb(89, 38, 229)"
cmp edx,"rgb(89, 37, 230)"
[ebp+var_4] edx,"rgb(88, 40, 228)"
[ebp+var_4] ecx,"rgb(88, 39, 229)"
test edx,"rgb(88, 38, 230)"
esi esi,"rgb(87, 40, 229)"
jl short,"rgb(87, 39, 230)"
call near,"rgb(86, 40, 230)"
cmp esi,"rgb(92, 40, 223)"
push dword,"rgb(92, 39, 224)"
movzx ecx,"rgb(92, 38, 225)"
and ecx,"rgb(92, 37, 226)"
edi eax,"rgb(92, 36, 227)"
mov [ebp+var_14],"rgb(92, 35, 228)"
mov dword,"rgb(92, 34, 229)"
jb short,"rgb(92, 33, 230)"
mov [ebp+var_18],"rgb(91, 40, 224)"
ja short,"rgb(91, 39, 225)"
movzx edx,"rgb(91, 38, 226)"
leave,"rgb(91, 37, 227)"
edx [ebp+var_8],"rgb(91, 36, 228)"
or ecx,"rgb(91, 35, 229)"
eax [ebp+var_C],"rgb(91, 34, 230)"
sub esi,"rgb(90, 40, 225)"
short near,"rgb(90, 39, 226)"
[ebp+var_8] eax,"rgb(90, 38, 227)"
eax offset,"rgb(90, 37, 228)"
eax edi,"rgb(90, 36, 229)"
xor esi,"rgb(90, 35, 230)"
sbb eax,"rgb(89, 40, 226)"
jbe short,"rgb(89, 39, 227)"
ecx [ebp+var_C],"rgb(89, 38, 228)"
cmp dword,"rgb(89, 37, 229)"
and edx,"rgb(89, 36, 230)"
retn 4,"rgb(88, 40, 227)"
mov esp,"rgb(88, 39, 228)"
[ebp+var_8] edx,"rgb(88, 38, 229)"
test esi,"rgb(88, 37, 230)"
push 0,"rgb(87, 40, 228)"
retn 8,"rgb(87, 39, 229)"
retn 0Ch,"rgb(87, 38, 230)"
or edx,"rgb(86, 40, 229)"
jnb short,"rgb(86, 39, 230)"
retn 10h,"rgb(85, 40, 230)"
esp ebp,"rgb(92, 40, 222)"
ebx eax,"rgb(92, 39, 223)"
imul ecx,"rgb(92, 38, 224)"
edx [ebp+var_C],"rgb(92, 37, 225)"
eax ebx,"rgb(92, 36, 226)"
pop edx,"rgb(92, 35, 227)"
cmp edi,"rgb(92, 34, 228)"
[ebp+var_C] eax,"rgb(92, 33, 229)"
[ebp+var_8] ecx,"rgb(92, 32, 230)"
shl eax,"rgb(91, 40, 223)"
call dword,"rgb(91, 39, 224)"
esp 0Ch,"rgb(91, 38, 225)"
and esi,"rgb(91, 37, 226)"
or esi,"rgb(91, 36, 227)"
ebx ebx,"rgb(91, 35, 228)"
eax [ebp+var_10],"rgb(91, 34, 229)"
mov cl,"rgb(91, 33, 230)"
sbb edx,"rgb(90, 40, 224)"
jg short,"rgb(90, 39, 225)"
sub edi,"rgb(90, 38, 226)"
esp 8,"rgb(90, 37, 227)"
xor edi,"rgb(90, 36, 228)"
sbb ecx,"rgb(90, 35, 229)"
edx [ebp+var_10],"rgb(90, 34, 230)"
ecx esi,"rgb(89, 40, 225)"
[ebp+var_C] ecx,"rgb(89, 39, 226)"
lea esi,"rgb(89, 38, 227)"
test edi,"rgb(89, 37, 228)"
ecx [ebp+var_10],"rgb(89, 36, 229)"
[ebp+var_10] eax,"rgb(89, 35, 230)"
eax [ebp+var_14],"rgb(88, 40, 226)"
ecx [ebp+var_18],"rgb(88, 39, 227)"
esi edi,"rgb(88, 38, 228)"
[ebp+var_C] edx,"rgb(88, 37, 229)"
mov dl,"rgb(88, 36, 230)"
lea edi,"rgb(87, 40, 227)"
cmp ebx,"rgb(87, 39, 228)"
imul esi,"rgb(87, 38, 229)"
xor ebx,"rgb(87, 37, 230)"
esi ecx,"rgb(86, 40, 228)"
esp 4,"rgb(86, 39, 229)"
edx dword_416020,"rgb(86, 38, 230)"
shl edx,"rgb(85, 40, 229)"
edi esi,"rgb(85, 39, 230)"
cmp [ebp+var_4],"rgb(84, 40, 230)"
ecx [ebp+var_14],"rgb(92, 40, 221)"
eax [ebp+arg_0],"rgb(92, 39, 222)"
or edi,"rgb(92, 38, 223)"
mov [ebp+var_1C],"rgb(92, 37, 224)"
esp 10h,"rgb(92, 36, 225)"
test ebx,"rgb(92, 35, 226)"
ptr [eax],"rgb(92, 34, 227)"
shl ecx,"rgb(92, 33, 228)"
sub ebx,"rgb(92, 32, 229)"
push 1,"rgb(92, 31, 230)"
inc eax,"rgb(91, 40, 222)"
esi ebx,"rgb(91, 39, 223)"
[ebp+var_14] eax,"rgb(91, 38, 224)"
short $+2,"rgb(91, 37, 225)"
imul edx,"rgb(91, 36, 226)"
ecx edi,"rgb(91, 35, 227)"
and edi,"rgb(91, 34, 228)"
[ebp+var_10] edx,"rgb(91, 33, 229)"
[ebp+var_10] ecx,"rgb(91, 32, 230)"
push [ebp+var_4],"rgb(90, 40, 223)"
ebp eax,"rgb(90, 39, 224)"
ptr [ebp-4],"rgb(90, 38, 225)"
dup(0CCh),"rgb(90, 37, 226)"
edx [ebp+arg_0],"rgb(90, 36, 227)"
edx [ebp+var_18],"rgb(90, 35, 228)"
eax [eax+eax],"rgb(90, 34, 229)"
edx esi,"rgb(90, 33, 230)"
mov [ecx],"rgb(89, 40, 224)"
edi ebx,"rgb(89, 39, 225)"
edx cl,"rgb(89, 38, 226)"
jo short,"rgb(89, 37, 227)"
edx [ebp+var_14],"rgb(89, 36, 228)"
eax ebp,"rgb(89, 35, 229)"
sar eax,"rgb(89, 34, 230)"
[ebp+var_18] ecx,"rgb(88, 40, 225)"
popa,"rgb(88, 39, 226)"
lea ebx,"rgb(88, 38, 227)"
esi edx,"rgb(88, 37, 228)"
ptr [ecx],"rgb(88, 36, 229)"
ecx [ebp+arg_0],"rgb(88, 35, 230)"
[ebp+var_18] edx,"rgb(87, 40, 226)"
ebx esi,"rgb(87, 39, 227)"
ptr [ebp+var_4],"rgb(87, 38, 228)"
eax [ebp+var_18],"rgb(87, 37, 229)"
mov [ebp+var_20],"rgb(87, 36, 230)"
ecx ebx,"rgb(86, 40, 227)"
imul edi,"rgb(86, 39, 228)"
mov [eax],"rgb(86, 38, 229)"
xchg eax,"rgb(86, 37, 230)"
eax word,"rgb(85, 40, 228)"
sar edx,"rgb(85, 39, 229)"
and dword,"rgb(85, 38, 230)"
eax byte,"rgb(84, 40, 229)"
edx word,"rgb(84, 39, 230)"
ebx edi,"rgb(83, 40, 230)"
edx byte,"rgb(92, 40, 220)"
push es,"rgb(92, 39, 221)"
push [ebp+var_8],"rgb(92, 38, 222)"
eax [ebp+arg_4],"rgb(92, 37, 223)"
eax 0,"rgb(92, 36, 224)"
and ebx,"rgb(92, 35, 225)"
ecx word,"rgb(92, 34, 226)"
mov [ebp+var_24],"rgb(92, 33, 227)"
edx edi,"rgb(92, 32, 228)"
ebp ebp,"rgb(92, 31, 229)"
edi ecx,"rgb(92, 30, 230)"
or ebx,"rgb(91, 40, 221)"
esp 14h,"rgb(91, 39, 222)"
[ebp+var_14] ecx,"rgb(91, 38, 223)"
cmp [ebp+var_C],"rgb(91, 37, 224)"
eax,"rgb(91, 36, 225)"
mov [ebp-4],"rgb(91, 35, 226)"
ecx 0,"rgb(91, 34, 227)"
ecx byte,"rgb(91, 33, 228)"
cmp [ebp+var_8],"rgb(91, 32, 229)"
shl esi,"rgb(91, 31, 230)"
eax [ebp+8],"rgb(90, 40, 222)"
push 2,"rgb(90, 39, 223)"
push 4,"rgb(90, 38, 224)"
cmp ebp,"rgb(90, 37, 225)"
esp 18h,"rgb(90, 36, 226)"
eax 2,"rgb(90, 35, 227)"
eax cl,"rgb(90, 34, 228)"
ecx [ebp+arg_4],"rgb(90, 33, 229)"
[ebp+var_4] 0,"rgb(90, 32, 230)"
mov [ebp+var_28],"rgb(89, 40, 223)"
inc esi,"rgb(89, 39, 224)"
sub ebp,"rgb(89, 38, 225)"
ecx [eax],"rgb(89, 37, 226)"
ecx [ecx+edx],"rgb(89, 36, 227)"
[ebp+var_14] edx,"rgb(89, 35, 228)"
ecx [ebp+var_1C],"rgb(89, 34, 229)"
test ebp,"rgb(89, 33, 230)"
inc edi,"rgb(88, 40, 224)"
edx [ecx+edx],"rgb(88, 39, 225)"
esi offset,"rgb(88, 38, 226)"
edi edx,"rgb(88, 37, 227)"
push 0Ah,"rgb(88, 36, 228)"
edx ebx,"rgb(88, 35, 229)"
call esi,"rgb(88, 34, 230)"
dup(90h),"rgb(87, 40, 225)"
inc ecx,"rgb(87, 39, 226)"
ecx [ebp+var_2C],"rgb(87, 38, 227)"
[ebp+var_18] eax,"rgb(87, 37, 228)"
edx [edx+ecx],"rgb(87, 36, 229)"
ptr [esi],"rgb(87, 35, 230)"
mov [ebp+var_2C],"rgb(86, 40, 226)"
cdq,"rgb(86, 39, 227)"
ecx,"rgb(86, 38, 228)"
eax 4,"rgb(86, 37, 229)"
mov bl,"rgb(86, 36, 230)"
ptr [ebp+var_C],"rgb(85, 40, 227)"
ptr [ebp+8],"rgb(85, 39, 228)"
mov [ebp+var_40],"rgb(85, 38, 229)"
