Term,RGB
dword ptr,"rgb(180, 149, 119)"
mov eax,"rgb(180, 149, 118)"
qword ptr,"rgb(180, 148, 119)"
byte ptr,"rgb(180, 149, 117)"
mov ecx,"rgb(180, 148, 118)"
eax eax,"rgb(180, 147, 119)"
nop,"rgb(180, 149, 116)"
push eax,"rgb(180, 148, 117)"
mov edx,"rgb(180, 147, 118)"
push esi,"rgb(180, 146, 119)"
mov dword,"rgb(180, 149, 115)"
mov esi,"rgb(180, 148, 116)"
test eax,"rgb(180, 147, 117)"
lea eax,"rgb(180, 146, 118)"
mov edi,"rgb(180, 145, 119)"
push edi,"rgb(180, 149, 114)"
cmp eax,"rgb(180, 148, 115)"
push ebx,"rgb(180, 147, 116)"
lea ecx,"rgb(180, 146, 117)"
pop esi,"rgb(180, 145, 118)"
pop ecx,"rgb(180, 144, 119)"
xor eax,"rgb(180, 149, 113)"
mov ebp,"rgb(180, 148, 114)"
mov ebx,"rgb(180, 147, 115)"
push ebp,"rgb(180, 146, 116)"
word ptr,"rgb(180, 145, 117)"
push ecx,"rgb(180, 144, 118)"
pop edi,"rgb(180, 143, 119)"
mov byte,"rgb(180, 149, 112)"
ptr [eax],"rgb(180, 148, 113)"
edi edi,"rgb(180, 147, 114)"
ebp esp,"rgb(180, 146, 115)"
pop ebp,"rgb(180, 145, 116)"
push dword,"rgb(180, 144, 117)"
pop ebx,"rgb(180, 143, 118)"
cmp dword,"rgb(180, 142, 119)"
ecx ecx,"rgb(180, 149, 111)"
esi esi,"rgb(180, 148, 112)"
call dword,"rgb(180, 147, 113)"
push 0,"rgb(180, 146, 114)"
eax dword,"rgb(180, 145, 115)"
eax esi,"rgb(180, 144, 116)"
edx edx,"rgb(180, 143, 117)"
push edx,"rgb(180, 142, 118)"
esi eax,"rgb(180, 141, 119)"
lea edx,"rgb(180, 149, 110)"
sub esp,"rgb(180, 148, 111)"
cmp byte,"rgb(180, 147, 112)"
ecx eax,"rgb(180, 146, 113)"
xor ecx,"rgb(180, 145, 114)"
ebx ebx,"rgb(180, 144, 115)"
sub eax,"rgb(180, 143, 116)"
movzx eax,"rgb(180, 142, 117)"
cmp ecx,"rgb(180, 141, 118)"
eax 1,"rgb(180, 140, 119)"
xor edx,"rgb(180, 149, 109)"
ecx esi,"rgb(180, 148, 110)"
eax ebx,"rgb(180, 147, 111)"
leave,"rgb(180, 146, 112)"
[eax] al,"rgb(180, 145, 113)"
eax edi,"rgb(180, 144, 114)"
cmp esi,"rgb(180, 143, 115)"
mov al,"rgb(180, 142, 116)"
ptr [esi],"rgb(180, 141, 117)"
edi eax,"rgb(180, 140, 118)"
eax ecx,"rgb(180, 139, 119)"
esi ecx,"rgb(180, 149, 108)"
inc eax,"rgb(180, 148, 109)"
xmmword ptr,"rgb(180, 147, 110)"
test esi,"rgb(180, 146, 111)"
test al,"rgb(180, 145, 112)"
push 1,"rgb(180, 144, 113)"
and eax,"rgb(180, 143, 114)"
al al,"rgb(180, 142, 115)"
xor esi,"rgb(180, 141, 116)"
cmp edi,"rgb(180, 140, 117)"
eax edx,"rgb(180, 139, 118)"
xor ebx,"rgb(180, 138, 119)"
ebx eax,"rgb(180, 149, 107)"
test ecx,"rgb(180, 148, 108)"
xor edi,"rgb(180, 147, 109)"
