Term,RGB
mov eax,"rgb(200, 130, 199)"
dword ptr,"rgb(200, 130, 198)"
mov ecx,"rgb(200, 129, 199)"
qword ptr,"rgb(200, 130, 197)"
byte ptr,"rgb(200, 129, 198)"
nop,"rgb(200, 128, 199)"
eax eax,"rgb(200, 130, 196)"
mov edx,"rgb(200, 129, 197)"
mov esi,"rgb(200, 128, 198)"
mov edi,"rgb(200, 127, 199)"
xor eax,"rgb(200, 130, 195)"
mov dword,"rgb(200, 129, 196)"
add byte,"rgb(200, 128, 197)"
push esi,"rgb(200, 127, 198)"
push eax,"rgb(200, 126, 199)"
lea eax,"rgb(200, 130, 194)"
cmp eax,"rgb(200, 129, 195)"
mov ebx,"rgb(200, 128, 196)"
pop esi,"rgb(200, 127, 197)"
test eax,"rgb(200, 126, 198)"
lea ecx,"rgb(200, 125, 199)"
word ptr,"rgb(200, 130, 193)"
eax esi,"rgb(200, 129, 194)"
pop ecx,"rgb(200, 128, 195)"
esi eax,"rgb(200, 127, 196)"
push edi,"rgb(200, 126, 197)"
edi edi,"rgb(200, 125, 198)"
eax ecx,"rgb(200, 124, 199)"
mov ebp,"rgb(200, 130, 192)"
push ebp,"rgb(200, 129, 193)"
pop ebp,"rgb(200, 128, 194)"
push ebx,"rgb(200, 127, 195)"
mov byte,"rgb(200, 126, 196)"
edx edx,"rgb(200, 125, 197)"
pop edi,"rgb(200, 124, 198)"
movzx eax,"rgb(200, 123, 199)"
eax edx,"rgb(200, 130, 191)"
ecx edx,"rgb(200, 129, 192)"
push ecx,"rgb(200, 128, 193)"
ecx ecx,"rgb(200, 127, 194)"
ecx esi,"rgb(200, 126, 195)"
xor ecx,"rgb(200, 125, 196)"
ecx eax,"rgb(200, 124, 197)"
esi esi,"rgb(200, 123, 198)"
sub eax,"rgb(200, 122, 199)"
xor edx,"rgb(200, 130, 190)"
esi ecx,"rgb(200, 129, 191)"
sub ecx,"rgb(200, 128, 192)"
pop ebx,"rgb(200, 127, 193)"
cmp dword,"rgb(200, 126, 194)"
eax byte,"rgb(200, 125, 195)"
ebp esp,"rgb(200, 124, 196)"
ptr [eax],"rgb(200, 123, 197)"
edx ecx,"rgb(200, 122, 198)"
test esi,"rgb(200, 121, 199)"
and edx,"rgb(200, 130, 189)"
sub esi,"rgb(200, 129, 190)"
esp 4,"rgb(200, 128, 191)"
eax ebx,"rgb(200, 127, 192)"
or eax,"rgb(200, 126, 193)"
movzx esi,"rgb(200, 125, 194)"
edx eax,"rgb(200, 124, 195)"
cmp ecx,"rgb(200, 123, 196)"
push dword,"rgb(200, 122, 197)"
push edx,"rgb(200, 121, 198)"
sub esp,"rgb(200, 120, 199)"
eax edi,"rgb(200, 130, 188)"
inc eax,"rgb(200, 129, 189)"
ecx edi,"rgb(200, 128, 190)"
nop dword,"rgb(200, 127, 191)"
mov word,"rgb(200, 126, 192)"
ebx eax,"rgb(200, 125, 193)"
lea edx,"rgb(200, 124, 194)"
xor ebx,"rgb(200, 123, 195)"
eax dword,"rgb(200, 122, 196)"
edi esi,"rgb(200, 121, 197)"
lea edi,"rgb(200, 120, 198)"
ebx ebx,"rgb(200, 119, 199)"
and ecx,"rgb(200, 130, 187)"
esi byte,"rgb(200, 129, 188)"
mov al,"rgb(200, 128, 189)"
esi edx,"rgb(200, 127, 190)"
inc edx,"rgb(200, 126, 191)"
cmp edx,"rgb(200, 125, 192)"
ptr [esi],"rgb(200, 124, 193)"
eax 1,"rgb(200, 123, 194)"
edi eax,"rgb(200, 122, 195)"
or edx,"rgb(200, 121, 196)"
and eax,"rgb(200, 120, 197)"
push 0,"rgb(200, 119, 198)"
edi ecx,"rgb(200, 118, 199)"
cmp esi,"rgb(200, 131, 185)"
mov dl,"rgb(200, 130, 186)"
eax 5,"rgb(200, 129, 187)"
pop eax,"rgb(200, 128, 188)"
cmp edi,"rgb(200, 127, 189)"
tbyte ptr,"rgb(200, 126, 190)"
ebx ecx,"rgb(200, 125, 191)"
mov cl,"rgb(200, 124, 192)"
imul eax,"rgb(200, 123, 193)"
and dword,"rgb(200, 122, 194)"
[eax] al,"rgb(200, 121, 195)"
xor edi,"rgb(200, 120, 196)"
sar eax,"rgb(200, 119, 197)"
shl edx,"rgb(200, 118, 198)"
xor esi,"rgb(200, 117, 199)"
edx cl,"rgb(200, 131, 184)"
cmp byte,"rgb(200, 130, 185)"
imul ecx,"rgb(200, 129, 186)"
shl esi,"rgb(200, 128, 187)"
edi edx,"rgb(200, 127, 188)"
lea esi,"rgb(200, 126, 189)"
cdq,"rgb(200, 125, 190)"
ecx ebx,"rgb(200, 124, 191)"
test ecx,"rgb(200, 123, 192)"
eax 3,"rgb(200, 122, 193)"
shl eax,"rgb(200, 121, 194)"
test edi,"rgb(200, 120, 195)"
esp 8,"rgb(200, 119, 196)"
edx ebx,"rgb(200, 118, 197)"
ebx edx,"rgb(200, 117, 198)"
or esi,"rgb(200, 116, 199)"
xmmword ptr,"rgb(200, 131, 183)"
lea ebx,"rgb(200, 130, 184)"
push 5,"rgb(200, 129, 185)"
cmp ebx,"rgb(200, 128, 186)"
esi cl,"rgb(200, 127, 187)"
mul ecx,"rgb(200, 126, 188)"
esi ebx,"rgb(200, 125, 189)"
mul esi,"rgb(200, 124, 190)"
edx esi,"rgb(200, 123, 191)"
movzx edx,"rgb(200, 122, 192)"
test edx,"rgb(200, 121, 193)"
sub edx,"rgb(200, 120, 194)"
fxch st(1),"rgb(200, 119, 195)"
imul edx,"rgb(200, 118, 196)"
movzx ecx,"rgb(200, 117, 197)"
esi [ecx],"rgb(200, 116, 198)"
push 2,"rgb(200, 115, 199)"
